"","Supervisor.PI","Population","Mean"
"1","Gibert","AK",0.758253968253968
"2","Gibert","GI",0.615208333333333
"3","Gibert","KA",0.723870967741935
"4","Gibert","MA",0.645396825396825
"5","Gibert","MU",0.71968253968254
"6","Gibert","RE",0.6468
"7","Gibert","UM",0.716140350877193
"8","Gibert","VA",0.635714285714286
"9","Gibert","YE",0.517301587301587
"10","Grath","AK",0.691205673765957
"11","Grath","MU",0.61603333334
"12","Grath","RE",0.63583333334
"13","Hoedjes","AK",0.7745
"14","Hoedjes","GI",0.602666666666667
"15","Hoedjes","KA",0.718166666666667
"16","Hoedjes","MA",0.7085
"17","Hoedjes","MU",0.7395
"18","Hoedjes","RE",0.623333333333333
"19","Hoedjes","UM",0.684901960784314
"20","Hoedjes","VA",0.680833333333333
"21","Hoedjes","YE",0.559666666666667
"22","Schmidt","AK",0.62515654605
"23","Schmidt","GI",0.481290367933333
"24","Schmidt","KA",0.76034235385
"25","Schmidt","MA",0.6326332995
"26","Schmidt","MU",0.57261213135
"27","Schmidt","RE",0.629822488066667
"28","Schmidt","UM",0.710661793214286
"29","Schmidt","VA",0.58372051505
"30","Schmidt","YE",0.5377345183
"31","StamenkovicRadak","AK",0.680333333333333
"32","StamenkovicRadak","GI",0.612051282051282
"33","StamenkovicRadak","KA",0.649
"34","StamenkovicRadak","MA",0.557
"35","StamenkovicRadak","MU",0.701166666666667
"36","StamenkovicRadak","RE",0.622291666666667
"37","StamenkovicRadak","UM",0.586481481481481
"38","StamenkovicRadak","VA",0.565833333333333
"39","StamenkovicRadak","YE",0.494666666666667
"40","Zwaan","AK",0.75140625
"41","Zwaan","GI",0.643469387755102
"42","Zwaan","KA",0.756825396825397
"43","Zwaan","MA",0.714354838709677
"44","Zwaan","MU",0.700847457627119
"45","Zwaan","RE",0.641698113207547
"46","Zwaan","UM",0.773508771929825
"47","Zwaan","VA",0.725423728813559
"48","Zwaan","YE",0.530344827586207
