"","Supervisor.PI","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gibert","AK",0.758253968253968,0.112544466947294,0.78,0.38,0.98,0.0141792700466128,0.148425819922117,0.8
"2","Gibert","GI",0.615208333333333,0.151713469904141,0.65,0.38,0.9,0.021897953172212,0.246605030660303,0.65
"3","Gibert","KA",0.723870967741935,0.109549821568113,0.73,0.45,0.95,0.0139128412519986,0.151338880062902,0.8
"4","Gibert","MA",0.645396825396825,0.152080468903858,0.65,0.23,0.85,0.0191603380947477,0.235638699974006,0.78
"5","Gibert","MU",0.71968253968254,0.11186063123035,0.73,0.43,0.98,0.0140931148444863,0.155430519795149,0.75
"6","Gibert","RE",0.6468,0.147820078170065,0.63,0.28,0.95,0.0209049159339157,0.22854062796856,0.63
"7","Gibert","UM",0.716140350877193,0.119354729183414,0.73,0.4,0.93,0.0158089200772167,0.166663879555478,0.73
"8","Gibert","VA",0.635714285714286,0.161701779327836,0.68,0,0.95,0.0203725092694332,0.25436234950446,0.7
"9","Gibert","YE",0.517301587301587,0.170570261269947,0.53,0.15,0.85,0.0214898329706472,0.329730790426715,0.53
"10","Grath","AK",0.691205673765957,0.114142307851349,0.7,0.475,0.925,0.0166493667642872,0.165135085233687,0.65
"11","Grath","MU",0.61603333334,0.164124106160281,0.6125,0.125,0.975,0.0232106536844231,0.26642082055923,0.6
"12","Grath","RE",0.63583333334,0.131106511035088,0.6375,0.275,0.925,0.0185412606021239,0.206196347628383,0.6
"13","Hoedjes","AK",0.7745,0.115574101256968,0.78,0.5,1,0.0149205523140376,0.149224146232367,0.78
"14","Hoedjes","GI",0.602666666666667,0.139502362313006,0.6,0.35,0.88,0.020795784343579,0.231475158705208,0.6
"15","Hoedjes","KA",0.718166666666667,0.147573499833498,0.73,0.33,1,0.019051656906556,0.205486423532371,0.7
"16","Hoedjes","MA",0.7085,0.108218626799829,0.73,0.4,0.93,0.0139709646448391,0.152743298235468,0.75
"17","Hoedjes","MU",0.7395,0.118713799120805,0.75,0.48,0.95,0.0153258855653297,0.160532520785403,0.73
"18","Hoedjes","RE",0.623333333333333,0.139316513411336,0.63,0.28,0.88,0.0207680796250672,0.223502427932624,0.58
"19","Hoedjes","UM",0.684901960784314,0.152726848314494,0.73,0.33,0.95,0.0213860363991153,0.222990817750907,0.73
"20","Hoedjes","VA",0.680833333333333,0.151011186774601,0.7,0.3,0.95,0.0194954603823016,0.22180345670688,0.75
"21","Hoedjes","YE",0.559666666666667,0.158209972758439,0.565,0.1,0.85,0.0204248196565788,0.282686074017461,0.65
"22","Schmidt","AK",0.62515654605,0.181740470684359,0.6533333335,0.238095238,0.913043478,0.0406384046713034,0.290711937406192,0.913043478
"23","Schmidt","GI",0.481290367933333,0.335825993432586,0.5,0,1,0.0867098986525311,0.697761716850114,0
"24","Schmidt","KA",0.76034235385,0.209983995915474,0.8170995675,0.428571429,1,0.0469538489054038,0.276170326238198,1
"25","Schmidt","MA",0.6326332995,0.225548529827922,0.672619048,0.178571429,0.956521739,0.0531622983093267,0.356523328769105,0.666666667
"26","Schmidt","MU",0.57261213135,0.218642420097111,0.5104166665,0.227272727,1,0.0488899314102206,0.381833370490485,1
"27","Schmidt","RE",0.629822488066667,0.22005721927354,0.709677419,0.310344828,1,0.0568185296972756,0.349395620897943,0.375
"28","Schmidt","UM",0.710661793214286,0.178178193962693,0.7408536585,0.433333333,0.95,0.0476201254001823,0.250721504468114,0.92
"29","Schmidt","VA",0.58372051505,0.208770168063484,0.5773255815,0.285714286,1,0.0466824287464006,0.357654327166489,0.55
"30","Schmidt","YE",0.5377345183,0.207858536734889,0.508064516,0.227272727,1,0.0464785817842848,0.386544902105252,0.5
"31","StamenkovicRadak","AK",0.680333333333333,0.16553935132215,0.64,0.23,1,0.0213710383604222,0.24332094755828,0.6
"32","StamenkovicRadak","GI",0.612051282051282,0.140322551122677,0.65,0.3,0.8,0.0224695910484942,0.229266003091093,0.73
"33","StamenkovicRadak","KA",0.649,0.12231800732212,0.68,0.4,0.95,0.0157911868433283,0.188471505889245,0.68
"34","StamenkovicRadak","MA",0.557,0.166298689824328,0.58,0.18,0.84,0.0214690685395245,0.298561382090356,0.58
"35","StamenkovicRadak","MU",0.701166666666667,0.143646124345727,0.73,0.23,0.9,0.0185446349112747,0.204867303559392,0.83
"36","StamenkovicRadak","RE",0.622291666666667,0.128049850388031,0.63,0.4,0.89,0.0184824038978053,0.205771436847188,0.68
"37","StamenkovicRadak","UM",0.586481481481481,0.187799144083562,0.565,0.08,0.85,0.0255562265075636,0.32021325483146,0.83
"38","StamenkovicRadak","VA",0.565833333333333,0.150347525856176,0.565,0.18,0.88,0.0194097821261486,0.265709913147881,0.65
"39","StamenkovicRadak","YE",0.494666666666667,0.152409647217529,0.53,0.05,0.75,0.0196760008491613,0.308105755830585,0.58
"40","Zwaan","AK",0.75140625,0.139816968649096,0.75,0.4,1,0.017477121081137,0.186073736609319,0.7
"41","Zwaan","GI",0.643469387755102,0.150506796917506,0.65,0.25,0.9,0.0215009709882151,0.233898923214646,0.58
"42","Zwaan","KA",0.756825396825397,0.146736821651789,0.8,0.28,1,0.0184871018222225,0.193884642702658,0.8
"43","Zwaan","MA",0.714354838709677,0.163061096542711,0.75,0.25,1,0.0207087799697146,0.228263445148974,0.75
"44","Zwaan","MU",0.700847457627119,0.217329307857384,0.75,0,1,0.0282938659141691,0.31009502209397,0.58
"45","Zwaan","RE",0.641698113207547,0.20639521320717,0.63,0.05,1,0.0283505628824468,0.321639114965598,0.75
"46","Zwaan","UM",0.773508771929825,0.138273683428272,0.78,0.28,1,0.0183147967831315,0.178761622939703,0.73
"47","Zwaan","VA",0.725423728813559,0.177718510804046,0.78,0.18,1,0.0231369793827126,0.244985797603709,0.78
"48","Zwaan","YE",0.530344827586207,0.232996992053782,0.565,0.03,0.93,0.0305940038936272,0.439331129360187,0.7
