"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Onder","1","F","AK","AK1",2831.95218666667,116.704413813912,2865.7482535,2383.62163,2967.520076,21.3072133354324,0.0412098814250387,2842.383223
"2","Onder","1","F","AK","AK2",2759.99264409375,98.4308794365924,2783.3859215,2393.047198,2892.631571,17.4002855819425,0.0356634571643623,2801.224396
"3","Onder","1","F","AK","AK4",2805.2720746,71.8473539334719,2805.3664015,2647.810154,2954.011622,13.1174721488067,0.0256115456978327,2940.153847
"4","Onder","1","F","AK","AK5",2706.5089546,74.4672066649418,2718.0743935,2535.657331,2833.776168,13.5957896282626,0.0275141179704493,2736.34374
"5","Onder","1","F","GI","GI1",2870.97525276667,82.8090085921754,2894.5043455,2709.962367,3026.243456,15.1187873235245,0.0288435118040028,2809.515057
"6","Onder","1","F","GI","GI2",2839.63452235484,59.9005753859612,2835.875886,2701.95982,2957.713019,10.7584609337732,0.021094466528843,2920.269242
"7","Onder","1","F","GI","GI3",2809.60268006667,58.1675166912603,2812.2639145,2688.011123,2918.318234,10.6198870019538,0.0207031111921776,2836.343433
"8","Onder","1","F","GI","GI4",2803.65681816129,99.9896410427599,2815.072914,2531.322708,2973.604123,17.9586696790337,0.0356640086600669,2783.005451
"9","Onder","1","F","KA","KA2",2914.02510521212,59.9362932753549,2915.393001,2764.195833,3009.159096,10.433569440047,0.020568214449543,2981.215439
"10","Onder","1","F","KA","KA3",2806.90783373529,78.1040738376665,2796.898962,2575.067599,2925.273561,13.3947381570258,0.0278256638493646,2768.443399
"11","Onder","1","F","KA","KA5",2830.75036682857,59.7653803260907,2813.843677,2751.675903,3019.984514,10.1021930936127,0.0211129109180506,2872.368703
"12","Onder","1","F","KA","KA6",2878.74852736667,69.811575838914,2877.5347555,2744.943129,3003.807927,12.7457916206519,0.0242506683634413,2803.059201
"13","Onder","1","F","MA","MA3",2848.90610446667,60.0301397397937,2851.3959745,2761.212703,2995.259896,10.9599538885574,0.0210712945736173,2825.040314
"14","Onder","1","F","MA","MA5",2865.68549825806,61.9454797179537,2858.080718,2736.014706,2960.649453,11.1257365939365,0.0216162868380385,2839.669889
"15","Onder","1","F","MA","MA6",2921.47631536667,85.1744390042573,2913.893541,2728.831261,3068.73746,15.5506538551599,0.029154588232069,2859.123956
"16","Onder","1","F","MA","MA7",2928.67600943333,73.1124728389408,2936.0090845,2703.365393,3053.699594,13.3484502029572,0.0249643431378015,2914.282214
"17","Onder","1","F","MA","MA9",2951.82561645161,51.067324814616,2951.787622,2819.001522,3027.457002,9.17196229702853,0.0173002512512931,2946.955476
"18","Onder","1","F","MU","MU2",2833.34690905882,90.1126281951983,2846.8201595,2593.888619,2983.442067,15.4541882389495,0.0318043046218904,2854.969579
"19","Onder","1","F","MU","MU3",2925.645104,78.9765140743326,2919.3821525,2736.834349,3127.768141,14.4190727572121,0.0269945640249921,2949.181086
