Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Total	Dead	CSM_PropDead	CSM_PropDead_ED	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	CSM_PropDead_ED_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gonzalez	S	1	AK	AK1	M	1	Gonzalez_1_AK1_M_1	20	14	70	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK1	M	2	Gonzalez_2_AK1_M_2	19	11	57.9	0.5789473684	Finland	61.1	23.52	88	AK	AK	AK	0.864677303694978	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK1	M	3	Gonzalez_3_AK1_M_3	18	3	16.7	0.1666666667	Finland	61.1	23.52	88	AK	AK	AK	0.420534335328687	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK10	M	1	Gonzalez_1_AK10_M_1	20	16	80	0.8	Finland	61.1	23.52	88	AK	AK	AK	1.10714871779409	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK10	M	2	Gonzalez_3_AK10_M_2	20	4	20	0.2	Finland	61.1	23.52	88	AK	AK	AK	0.463647609000806	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK10	M	3	Gonzalez_4_AK10_M_3	20	11	55	0.55	Finland	61.1	23.52	88	AK	AK	AK	0.835481873978228	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK11	M	1	Gonzalez_1_AK11_M_1	16	8	50	0.5	Finland	61.1	23.52	88	AK	AK	AK	0.785398163397448	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK11	M	2	Gonzalez_2_AK11_M_2	20	17	85	0.85	Finland	61.1	23.52	88	AK	AK	AK	1.17309691170282	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK11	M	3	Gonzalez_3_AK11_M_3	18	4	22.2	0.2222222222	Finland	61.1	23.52	88	AK	AK	AK	0.490882678262585	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK12	M	1	Gonzalez_1_AK12_M_1	16	16	100	1	Finland	61.1	23.52	88	AK	AK	AK	1.5707963267949	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK12	M	2	Gonzalez_2_AK12_M_2	19	14	73.7	0.7368421053	Finland	61.1	23.52	88	AK	AK	AK	1.03213286075594	#A00E00	+	+	+	0.066
Gonzalez	S	5	AK	AK12	M	3	Gonzalez_5_AK12_M_3	23	16	69.6	0.6956521739	Finland	61.1	23.52	88	AK	AK	AK	0.986422429932276	#A00E00	+	+	+	0.066
Gonzalez	S	6	AK	AK12	M	4	Gonzalez_6_AK12_M_4	19	10	52.6	0.5263157895	Finland	61.1	23.52	88	AK	AK	AK	0.811726117554585	#A00E00	+	+	+	0.066
Gonzalez	S	7	AK	AK12	M	5	Gonzalez_7_AK12_M_5	20	6	30	0.3	Finland	61.1	23.52	88	AK	AK	AK	0.579639740363704	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK13	M	1	Gonzalez_2_AK13_M_1	18	17	94.4	0.9444444444	Finland	61.1	23.52	88	AK	AK	AK	1.33285520186767	#A00E00	+	+	+	0.066
Gonzalez	S	5	AK	AK13	M	2	Gonzalez_5_AK13_M_2	19	14	73.7	0.7368421053	Finland	61.1	23.52	88	AK	AK	AK	1.03213286075594	#A00E00	+	+	+	0.066
Gonzalez	S	6	AK	AK13	M	3	Gonzalez_6_AK13_M_3	19	16	84.2	0.8421052632	Finland	61.1	23.52	88	AK	AK	AK	1.16215847175504	#A00E00	+	+	+	0.066
Gonzalez	S	7	AK	AK13	M	4	Gonzalez_7_AK13_M_4	20	5	25	0.25	Finland	61.1	23.52	88	AK	AK	AK	0.523598775598299	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK14	M	1	Gonzalez_1_AK14_M_1	18	13	72.2	0.7222222222	Finland	61.1	23.52	88	AK	AK	AK	1.0156751592133	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK14	M	2	Gonzalez_2_AK14_M_2	20	16	80	0.8	Finland	61.1	23.52	88	AK	AK	AK	1.10714871779409	#A00E00	+	+	+	0.066
Gonzalez	S	5	AK	AK14	M	3	Gonzalez_5_AK14_M_3	23	17	73.9	0.7391304348	Finland	61.1	23.52	88	AK	AK	AK	1.0347348369482	#A00E00	+	+	+	0.066
Gonzalez	S	6	AK	AK14	M	4	Gonzalez_6_AK14_M_4	19	17	89.5	0.8947368421	Finland	61.1	23.52	88	AK	AK	AK	1.24037367887484	#A00E00	+	+	+	0.066
Gonzalez	S	7	AK	AK14	M	5	Gonzalez_7_AK14_M_5	20	10	50	0.5	Finland	61.1	23.52	88	AK	AK	AK	0.785398163397448	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK15	M	1	Gonzalez_1_AK15_M_1	20	14	70	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK15	M	2	Gonzalez_3_AK15_M_2	20	6	30	0.3	Finland	61.1	23.52	88	AK	AK	AK	0.579639740363704	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK15	M	3	Gonzalez_4_AK15_M_3	20	19	95	0.95	Finland	61.1	23.52	88	AK	AK	AK	1.34528292089677	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK16	M	1	Gonzalez_2_AK16_M_1	19	11	57.9	0.5789473684	Finland	61.1	23.52	88	AK	AK	AK	0.864677303694978	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK16	M	2	Gonzalez_3_AK16_M_2	20	3	15	0.15	Finland	61.1	23.52	88	AK	AK	AK	0.397699415092072	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK16	M	3	Gonzalez_4_AK16_M_3	21	11	52.4	0.5238095238	Finland	61.1	23.52	88	AK	AK	AK	0.809216694700115	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK17	M	1	Gonzalez_1_AK17_M_1	19	18	94.7	0.9473684211	Finland	61.1	23.52	88	AK	AK	AK	1.33931896293078	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK17	M	2	Gonzalez_2_AK17_M_2	20	14	70	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK17	M	3	Gonzalez_3_AK17_M_3	17	4	23.5	0.2352941176	Finland	61.1	23.52	88	AK	AK	AK	0.50644464335803	#A00E00	+	+	+	0.066
Gonzalez	S	5	AK	AK17	M	4	Gonzalez_5_AK17_M_4	22	17	77.3	0.7727272727	Finland	61.1	23.52	88	AK	AK	AK	1.07386383598314	#A00E00	+	+	+	0.066
Gonzalez	S	6	AK	AK17	M	5	Gonzalez_6_AK17_M_5	20	17	85	0.85	Finland	61.1	23.52	88	AK	AK	AK	1.17309691170282	#A00E00	+	+	+	0.066
Gonzalez	S	7	AK	AK17	M	6	Gonzalez_7_AK17_M_6	21	3	14.3	0.1428571429	Finland	61.1	23.52	88	AK	AK	AK	0.387596686716418	#A00E00	+	+	+	0.066
Gonzalez	S	8	AK	AK17	M	7	Gonzalez_8_AK17_M_7	20	20	100	1	Finland	61.1	23.52	88	AK	AK	AK	1.5707963267949	#A00E00	+	+	+	0.066
Gonzalez	S	9	AK	AK17	M	8	Gonzalez_9_AK17_M_8	19	16	84.2	0.8421052632	Finland	61.1	23.52	88	AK	AK	AK	1.16215847175504	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK18	F	1	Gonzalez_1_AK18_F_1	20	20	100	1	Finland	61.1	23.52	88	AK	AK	AK	1.5707963267949	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK18	M	1	Gonzalez_1_AK18_M_1	20	19	95	0.95	Finland	61.1	23.52	88	AK	AK	AK	1.34528292089677	#A00E00	+	+	+	0.066
Gonzalez	S	1	GI	GI13	F	1	Gonzalez_1_GI13_F_1	20	20	100	1	Spain	41.618	0.62	173	GI	GI	GI	1.5707963267949	#B82E00	+	+	+	0.066
Gonzalez	S	2	AK	AK2	M	1	Gonzalez_2_AK2_M_1	21	3	14.3	0.1428571429	Finland	61.1	23.52	88	AK	AK	AK	0.387596686716418	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK2	M	2	Gonzalez_3_AK2_M_2	19	3	15.8	0.1578947368	Finland	61.1	23.52	88	AK	AK	AK	0.408637855039857	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK2	M	3	Gonzalez_4_AK2_M_3	20	8	40	0.4	Finland	61.1	23.52	88	AK	AK	AK	0.684719203002283	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK20	M	1	Gonzalez_2_AK20_M_1	20	15	75	0.75	Finland	61.1	23.52	88	AK	AK	AK	1.0471975511966	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK20	M	2	Gonzalez_3_AK20_M_2	13	8	61.5	0.6153846154	Finland	61.1	23.52	88	AK	AK	AK	0.901832252542301	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK20	M	3	Gonzalez_4_AK20_M_3	19	16	84.2	0.8421052632	Finland	61.1	23.52	88	AK	AK	AK	1.16215847175504	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK21	M	1	Gonzalez_1_AK21_M_1	19	18	94.7	0.9473684211	Finland	61.1	23.52	88	AK	AK	AK	1.33931896293078	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK21	M	2	Gonzalez_2_AK21_M_2	20	10	50	0.5	Finland	61.1	23.52	88	AK	AK	AK	0.785398163397448	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK21	M	3	Gonzalez_3_AK21_M_3	17	15	88.2	0.8823529412	Finland	61.1	23.52	88	AK	AK	AK	1.22069054906427	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK3	M	1	Gonzalez_1_AK3_M_1	16	10	62.5	0.625	Finland	61.1	23.52	88	AK	AK	AK	0.911738290968488	#A00E00	+	+	+	0.066
Gonzalez	S	5	AK	AK3	M	2	Gonzalez_5_AK3_M_2	23	13	56.5	0.5652173913	Finland	61.1	23.52	88	AK	AK	AK	0.850801911431917	#A00E00	+	+	+	0.066
Gonzalez	S	6	AK	AK3	M	3	Gonzalez_6_AK3_M_3	20	14	70	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.066
Gonzalez	S	8	AK	AK3	M	4	Gonzalez_8_AK3_M_4	19	16	84.2	0.8421052632	Finland	61.1	23.52	88	AK	AK	AK	1.16215847175504	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK4	M	1	Gonzalez_1_AK4_M_1	18	17	94.4	0.9444444444	Finland	61.1	23.52	88	AK	AK	AK	1.33285520186767	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK4	M	2	Gonzalez_2_AK4_M_2	21	18	85.7	0.8571428571	Finland	61.1	23.52	88	AK	AK	AK	1.18319964007848	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK4	M	3	Gonzalez_3_AK4_M_3	18	11	61.1	0.6111111111	Finland	61.1	23.52	88	AK	AK	AK	0.897444709536738	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK5	M	1	Gonzalez_2_AK5_M_1	19	10	52.6	0.5263157895	Finland	61.1	23.52	88	AK	AK	AK	0.811726117554585	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK5	M	2	Gonzalez_3_AK5_M_2	14	2	14.3	0.1428571429	Finland	61.1	23.52	88	AK	AK	AK	0.387596686716418	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK5	M	3	Gonzalez_4_AK5_M_3	20	14	70	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.066
Gonzalez	S	1	AK	AK6	M	1	Gonzalez_1_AK6_M_1	15	2	13.3	0.1333333333	Finland	61.1	23.52	88	AK	AK	AK	0.373792174785481	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK6	M	2	Gonzalez_3_AK6_M_2	19	4	21.1	0.2105263158	Finland	61.1	23.52	88	AK	AK	AK	0.47667961160268	#A00E00	+	+	+	0.066
Gonzalez	S	4	AK	AK6	M	3	Gonzalez_4_AK6_M_3	20	10	50	0.5	Finland	61.1	23.52	88	AK	AK	AK	0.785398163397448	#A00E00	+	+	+	0.066
Gonzalez	S	2	AK	AK7	M	1	Gonzalez_2_AK7_M_1	19	7	36.8	0.3684210526	Finland	61.1	23.52	88	AK	AK	AK	0.652251154805624	#A00E00	+	+	+	0.066
Gonzalez	S	3	AK	AK7	M	2	Gonzalez_3_AK7_M_2	19	11	57.9	0.5789473684	Finland	61.1	23.52	88	AK	AK	AK	0.864677303694978	#A00E00	+	+	+	0.066
