Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	DT_EggAdult	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	1	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	2	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	3	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	4	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	5	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	6	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	7	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	8	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	9	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	10	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	11	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	12	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	13	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	14	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	15	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	16	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	1	Gibert_1_AK1_1	17	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	1	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	2	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	3	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	4	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	5	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	6	202	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	7	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	8	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	Gibert_1_AK1_2	9	216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
