Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	Censor	LSL_AgeAtDeath_days	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	1	0	10	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	2	0	37	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	3	0	41	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	4	0	42	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	5	0	42	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	6	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	7	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	8	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	9	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	1	Pasyukova_1_AK1_1	10	0	46	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	1	Pasyukova_1_AK1_1	1	0	31	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	1	Pasyukova_1_AK1_1	2	0	40	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	1	Pasyukova_1_AK1_1	3	0	44	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
