Supervisor.PI	Diet	Batch	Population	Line	Sex	Individual	PercT4	PercT5	PercT6	TotalPerc	PercT4_asin	PercT5_asin	PercT6_asin	TotalPerc_asin	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK1	F	1	13.643	27.839	53.94	29.41386112	0.378324873292311	0.555804367578068	0.824839053079386	0.573226313763138	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	2	28.143	45.824	71.037	44.67594643	0.559190020376431	0.743589460252907	1.00252860310307	0.732056502074944	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	3	41.449	62.721	78.015	60.07873343	0.699465749346015	0.914022123830651	1.08277213727013	0.886880825694962	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	4	25.42	37.36	44.823	32.58197025	0.528435089196516	0.657611579813899	0.733535213965079	0.607487375766205	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	5	17.325	32.773	40	29.81148396	0.429298552052075	0.609523793903288	0.684719203002283	0.577581006139393	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	6	12.212	71.977	57.87	48.37176247	0.356991204906833	1.01294140686198	0.864426802897965	0.76911290891389	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	7	3.588	17.185	39.795	19.32763115	0.190571589985402	0.427445999715386	0.682626030056972	0.455188934304024	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	8	1.386	17.907	47.571	21.12447953	0.11800216435652	0.436937460088787	0.761098599103553	0.477560236809875	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	F	9	6.623	24.153	59.013	26.42208666	0.260280794927477	0.51376196322003	0.876023550816376	0.539869654396852	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	F	1	31.714	27.49	57.892	38.92803187	0.598195025319102	0.551903509051423	0.864649587745989	0.673753048663299	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	F	2	30.044	18.811	11.811	20.42446313	0.580119719249992	0.448613334355717	0.350823595955947	0.468932548786533	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	F	3	38.738	38.753	57.043	44.25234179	0.671803483882772	0.671957434569647	0.856063174451644	0.727794237803247	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	F	4	36.613	21.433	32.854	30.01434371	0.649874849406568	0.481329335988206	0.610386350918791	0.579796232384773	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	F	5	19.697	23.998	45.415	27.03690889	0.459849251881438	0.511949273070407	0.739483661086921	0.546816153317976	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	F	6	22.82	23.283	29.2	25.47366892	0.498038041590315	0.503534794234326	0.570877065570755	0.529051177533587	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
