Supervisor.PI	Diet	Batch	Population	Line	ReplicateVialOld	ReplicateVial	ProportionEggtoAdultSurvival	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	ProportionEggtoAdultSurvival_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK1	1	Gibert_1_AK1_1	0.68	Finland	61.1	23.52	88	AK	AK	AK	0.969532110115768	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	2	Gibert_1_AK1_2	0.73	Finland	61.1	23.52	88	AK	AK	AK	1.02439576265692	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK1	3	Gibert_1_AK1_3	0.63	Finland	61.1	23.52	88	AK	AK	AK	0.916909264851683	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	1	Gibert_1_AK10_1	0.85	Finland	61.1	23.52	88	AK	AK	AK	1.17309691170282	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	2	Gibert_1_AK10_2	0.75	Finland	61.1	23.52	88	AK	AK	AK	1.0471975511966	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	3	Gibert_1_AK10_3	0.8	Finland	61.1	23.52	88	AK	AK	AK	1.10714871779409	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	1	Gibert_1_AK12_1	0.85	Finland	61.1	23.52	88	AK	AK	AK	1.17309691170282	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	2	Gibert_1_AK12_2	0.88	Finland	61.1	23.52	88	AK	AK	AK	1.21705472090523	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	3	Gibert_1_AK12_3	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK17	1	Gibert_1_AK17_1	0.68	Finland	61.1	23.52	88	AK	AK	AK	0.969532110115768	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK17	2	Gibert_1_AK17_2	0.6	Finland	61.1	23.52	88	AK	AK	AK	0.886077123792614	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK17	3	Gibert_1_AK17_3	0.75	Finland	61.1	23.52	88	AK	AK	AK	1.0471975511966	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK18	1	Gibert_1_AK18_1	0.85	Finland	61.1	23.52	88	AK	AK	AK	1.17309691170282	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK18	2	Gibert_1_AK18_2	0.38	Finland	61.1	23.52	88	AK	AK	AK	0.664215237877967	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK18	3	Gibert_1_AK18_3	0.55	Finland	61.1	23.52	88	AK	AK	AK	0.835481873978228	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	1	Gibert_1_AK2_1	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK2	2	Gibert_1_AK2_2	0.68	Finland	61.1	23.52	88	AK	AK	AK	0.969532110115768	#A00E00	+	+	+	0.076
