Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CentroidSizeLeft_micrometers	CentroidSizeRight_micrometers	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio	DevAssym	AvArea
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	1	2842.38322253506	2841.01455515173	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	1.36866738333038	2841.6988888434
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	2	2804.85176878173	2821.79249339997	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	16.9407246182404	2813.32213109085
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	3	2626.41079837332	2635.75175541939	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	9.34095704606989	2631.08127689636
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	4	2770.15376380713	2782.44505163405	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	12.2912878269199	2776.29940772059
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	5	2904.45142126743	2913.8839124471	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	9.43249117967025	2909.16766685726
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	6	2867.49409362565	2882.65965265864	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	15.1655590329901	2875.07687314214
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	7	2947.78595905917	2959.18806049051	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	11.4021014313398	2953.48700977484
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	8	2910.04435732667	2900.66029065591	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	9.38406667075969	2905.35232399129
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	9	2882.47773125247	2876.20300183975	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	6.27472941272026	2879.34036654611
Onder	NS	1	AK	AK1	F	1	Onder_1_AK1_1	10	2825.55014243478	2840.87062549015	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	15.32048305537	2833.21038396247
Onder	NS	1	AK	AK1	F	2	Onder_1_AK1_2	11	2383.62162971072	2418.25906853116	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	34.6374388204404	2400.94034912094
